year,events,total_fatalities,civilian_fatalities
1997,2229,26820,13440
1998,2965,70713,16639
1999,3751,161840,17050
2000,3299,23847,7839
2001,2838,26993,5281
2002,3598,28565,8587
2003,3110,21346,9515
2004,2525,19907,11687
2005,2102,8120,3300
2006,2121,8039,2495
2007,3092,9904,2964
2008,4082,11681,5198
2009,2733,15415,5746
2010,7831,21918,6765
2011,8577,27838,12466
2012,10511,26405,11092
2013,13366,36474,13350
2014,14918,47070,17321
2015,22868,62393,20787
2016,41857,120020,28105
2017,78699,185800,46755
2018,123515,176302,44441
2019,120519,152139,38195
2020,101662,136353,38134
2021,100757,154664,42022
2022,133877,153929,50406
2023,150859,172361,66140
2024,46144,50517,23023
